ステーション名,住所,クラス,車種,コメント
タイムズ初音町３丁目,神奈川県横浜市中区初音町3-58,ミドル,フリード,
タイムズ富士見町第３,神奈川県横浜市中区富士見町1-4,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ富士見町第５,神奈川県横浜市中区富士見町2,ベーシック,ソリオ,
タイムズ小港町１丁目,神奈川県横浜市中区小港町1-1,ベーシック,ワゴンRスマイル 660,
タイムズ小港町１丁目,神奈川県横浜市中区小港町1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ山元町５丁目,神奈川県横浜市中区山元町5-225,ベーシック,アクア（ハイブリッド）,
タイムズ山元町５丁目,神奈川県横浜市中区山元町5-225,ベーシック,MAZDA3 5HB 1500,
タイムズ山手町,神奈川県横浜市中区山手町60,ベーシック,アクア（ハイブリッド）,
タイムズ山手駅東,神奈川県横浜市中区立野65,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ山手駅東,神奈川県横浜市中区立野65,ベーシック,ノート,
タイムズ山手駅東,神奈川県横浜市中区立野65,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ山手駅東,神奈川県横浜市中区立野65,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズ山手駅東,神奈川県横浜市中区立野65,ミドル,C-HR（ハイブリッド）,
タイムズ常盤町３丁目,神奈川県横浜市中区常盤町3-29,ベーシック,ウェイク,
タイムズ常盤町３丁目第２,神奈川県横浜市中区常盤町3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ弁天通第２,神奈川県横浜市中区弁天通1-10,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ末吉町第１２,神奈川県横浜市中区末吉町4-78,ベーシック,N BOX,
タイムズ末吉町第１２,神奈川県横浜市中区末吉町4-78,ベーシック,ノート e-POWER,
タイムズ末吉町第１２,神奈川県横浜市中区末吉町4-78,ミドル,CX-30 2000（M-ハイブリッド）,
タイムズ末吉町第１４,神奈川県横浜市中区末吉町2-32,ベーシック,フィット,
タイムズ末吉町第１４,神奈川県横浜市中区末吉町2-32,ベーシック,フィット,
タイムズ末吉町第１４,神奈川県横浜市中区末吉町2-32,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ末吉町第１７,神奈川県横浜市中区末吉町3-50,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
タイムズ本牧三之谷第３,神奈川県横浜市中区本牧三之谷12,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ本牧三之谷第３,神奈川県横浜市中区本牧三之谷12,ベーシック,アクア（ハイブリッド）,
タイムズ本牧三之谷第３,神奈川県横浜市中区本牧三之谷12,ベーシック,フィット,
タイムズ本牧三之谷第３,神奈川県横浜市中区本牧三之谷12,ミドル,シエンタ（ハイブリッド）,
タイムズ本牧元町,神奈川県横浜市中区本牧元町12,ベーシック,ソリオ,
タイムズ本牧元町,神奈川県横浜市中区本牧元町12,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ本牧町第２,神奈川県横浜市中区本牧町1-78,ベーシック,ルークス,
タイムズ本牧町第２,神奈川県横浜市中区本牧町1-78,ベーシック,ノート e-POWER,
タイムズ本牧町第２,神奈川県横浜市中区本牧町1-78,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ本牧間門第２,神奈川県横浜市中区本牧間門2,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ本牧間門第２,神奈川県横浜市中区本牧間門2,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ本牧間門第２,神奈川県横浜市中区本牧間門2,ミドル,CX-30 2000（M-ハイブリッド）,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ベーシック,MAZDA3 5HB 1500,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ベーシック,MAZDA3 5HB 1500,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ベーシック,ライズ（ハイブリッド）,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ミドル,C-HR（ハイブリッド）,
タイムズ横浜弥生町第６,神奈川県横浜市中区弥生町2-21,ミドル,C-HR（ハイブリッド）,
タイムズ横浜扇町第３,神奈川県横浜市中区扇町2-6,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ横浜扇町第３,神奈川県横浜市中区扇町2-6,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜根岸町第３,神奈川県横浜市中区根岸町3-176,ベーシック,ノート e-POWER,
タイムズ横浜根岸町第３,神奈川県横浜市中区根岸町3-176,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ海岸通３丁目,神奈川県横浜市中区海岸通3-9,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ海岸通３丁目,神奈川県横浜市中区海岸通3-9,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ港山下ナナイロ,神奈川県横浜市中区新山下1-2,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ港山下ナナイロ,神奈川県横浜市中区新山下1-2,ベーシック,オーラ e-POWER,
タイムズ港山下ナナイロ,神奈川県横浜市中区新山下1-2,ベーシック,ソリオ,
タイムズ港山下ナナイロ,神奈川県横浜市中区新山下1-2,ベーシック,ノート e-POWER,
タイムズ港山下ナナイロ,神奈川県横浜市中区新山下1-2,ミドル,CX-30 2000,ジュニアシートなし
タイムズ野毛町,神奈川県横浜市中区野毛町1-8,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ野毛町,神奈川県横浜市中区野毛町1-8,ベーシック,ライズ（ハイブリッド）,
タイムズ野毛町第６,神奈川県横浜市中区野毛町2-80,ベーシック,アクア（ハイブリッド）,
タイムズ長者町第１２,神奈川県横浜市中区長者町5,ベーシック,ハスラー,ジュニアシートなし
タイムズ長者町第７,神奈川県横浜市中区長者町9-169,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ長者町第９,神奈川県横浜市中区長者町3-7,ベーシック,アクア（ハイブリッド）,
タイムズ関内不老町第２,神奈川県横浜市中区不老町1,ベーシック,N BOX,
タイムズ関内不老町第２,神奈川県横浜市中区不老町1,ベーシック,ヤリス（ハイブリッド）,
タイムズ関内駅前,神奈川県横浜市中区蓬莱町1-2,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,アクア（ハイブリッド）,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,アクア（ハイブリッド）,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,アクア（ハイブリッド）,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,オーラ e-POWER,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,スイフト,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,ノート e-POWER,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,フィット,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,フィット,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,ヤリス（ハイブリッド）,ジュニアシートなし
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ミドル,シエンタ（ハイブリッド）,
タイムズＨＵＬＩＣみなとみらい,神奈川県横浜市中区桜木町1-1,ミドル,シエンタ（ハイブリッド）,
パーク６００月極,神奈川県横浜市中区長者町9-176,ベーシック,ルークス,
パーク６００月極,神奈川県横浜市中区長者町9-176,ベーシック,アクア（ハイブリッド）,
パーク６００月極,神奈川県横浜市中区長者町9-176,ベーシック,アクア（ハイブリッド）,
パーク６００月極,神奈川県横浜市中区長者町9-176,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
パーク６００月極,神奈川県横浜市中区長者町9-176,ミドル,フリード,
ラフィシア関内,神奈川県横浜市中区福富町東通2,ベーシック,アクア（ハイブリッド）,
ローソン横浜新山下二丁目店,神奈川県横浜市中区新山下2-11,ベーシック,ノート e-POWER,
ヴェレーナグラン山手,神奈川県横浜市中区千代崎町2,ベーシック,ノート e-POWER,
中区石川町５丁目月極,神奈川県横浜市中区石川町5-187,ベーシック,ルークス,ジュニアシートなし
中区西竹之丸,神奈川県横浜市中区西竹之丸110-1,ベーシック,アクア（ハイブリッド）,
中華街パーキング,神奈川県横浜市中区山下町94,ベーシック,ソリオ,ジュニアシートなし
中華街パーキング,神奈川県横浜市中区山下町94,ベーシック,ヤリスクロス（ハイブリッド）,
中華街パーキング,神奈川県横浜市中区山下町94,ベーシック,ライズ,A200A型（2019年-2021年）
中華街パーキング,神奈川県横浜市中区山下町94,ミドル,シエンタ（ハイブリッド）,
千代崎町２丁目,神奈川県横浜市中区千代崎町2-38,ベーシック,N BOX,
吉浜橋駐車場,神奈川県横浜市中区山下町 272,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
吉浜橋駐車場,神奈川県横浜市中区山下町 272,ミドル,シエンタ（ハイブリッド）,
小港町月極,神奈川県横浜市中区小港町1-14,ベーシック,N BOX,
小港町月極,神奈川県横浜市中区小港町1-14,ベーシック,アクア（ハイブリッド）,
曙町駐車場,神奈川県横浜市中区曙町1-8,ベーシック,ウェイク,
本牧原月極,神奈川県横浜市中区和田山1-2,ベーシック,フィット,
本牧原月極,神奈川県横浜市中区和田山1-2,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
根岸町２丁目駐車場,神奈川県横浜市中区根岸町2,ベーシック,ノート e-POWER,
横浜アイランドタワー,神奈川県横浜市中区本町6-50,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
横浜アイランドタワー,神奈川県横浜市中区本町6-50,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
横浜日ノ出町第３月極,神奈川県横浜市中区日ノ出町2,ベーシック,ルークス,
横浜末吉町３丁目,神奈川県横浜市中区末吉町3,ベーシック,N BOX,
福富町西通月極駐車場,神奈川県横浜市中区福富町西通50,ベーシック,MAZDA2,DJ型（2019年-2023年）
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,アクア（ハイブリッド）,
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,スイフト,
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,ノート,
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,ノート e-POWER,
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,フィット,
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,ヤリス（ハイブリッド）,ジュニアシートなし
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
関内トーセイビル２,神奈川県横浜市中区住吉町4-45,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
ＵＲプロムナード本牧,神奈川県横浜市中区本牧宮原6-1,ベーシック,フィット,
ＵＲプロムナード本牧,神奈川県横浜市中区本牧宮原6-1,ベーシック,フィット（ハイブリッド）,
ＵＲプロムナード本牧,神奈川県横浜市中区本牧宮原6-1,ミドル,フリード,
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,ウェイク,
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,MAZDA2,DJ型（2019年-2023年）
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,アクア（ハイブリッド）,
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,アクア（ハイブリッド）,
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
ＵＲモアレ山田町,神奈川県横浜市中区山田町8-2,ベーシック,ヤリスクロス（ハイブリッド）,
ＵＲ新山下ベイシティ,神奈川県横浜市中区新山下3-15,ベーシック,ワゴンRスマイル 660,
ＵＲ新山下ベイシティ,神奈川県横浜市中区新山下3-15,ベーシック,ライズ,A200A型（2019年-2021年）
エスポアール澁谷,神奈川県横浜市南区別所5-23,ベーシック,MAZDA3 5HB 1500,
タイムズ三春台,神奈川県横浜市南区三春台154,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ベーシック,ワゴンRスマイル 660,
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ベーシック,ワゴンRスマイル 660,
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ベーシック,ヤリス（ハイブリッド）,
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ井土ヶ谷下町,神奈川県横浜市南区井土ケ谷下町,ミドル,フリード,
タイムズ井土ヶ谷下町第３,神奈川県横浜市南区井土ケ谷下町19-3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ井土ヶ谷下町第３,神奈川県横浜市南区井土ケ谷下町19-3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ六ツ川,神奈川県横浜市南区六ツ川1,ベーシック,アクア（ハイブリッド）,
タイムズ六ツ川,神奈川県横浜市南区六ツ川1,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ六ツ川,神奈川県横浜市南区六ツ川1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ六ツ川,神奈川県横浜市南区六ツ川1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ六ツ川第３,神奈川県横浜市南区六ツ川1-145,ベーシック,ノート e-POWER,
タイムズ六ツ川３丁目,神奈川県横浜市南区六ツ川3-22,ベーシック,アクア（ハイブリッド）,
タイムズ前里町第２,神奈川県横浜市南区前里町3,ベーシック,N BOX,ジュニアシートなし
タイムズ前里町第２,神奈川県横浜市南区前里町3,ベーシック,ソリオ,
タイムズ前里町第２,神奈川県横浜市南区前里町3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ前里町第３,神奈川県横浜市南区前里町1-6,ベーシック,ウェイク,
タイムズ前里町第３,神奈川県横浜市南区前里町1-6,ベーシック,ソリオ,
タイムズ前里町第３,神奈川県横浜市南区前里町1-6,ミドル,フリード,
タイムズ前里町第５,神奈川県横浜市南区前里町4-89,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ前里町第５,神奈川県横浜市南区前里町4-89,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ南吉田町第３,神奈川県横浜市南区南吉田町4,ベーシック,ノート,
タイムズ南太田,神奈川県横浜市南区南太田4-4,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ南太田第３,神奈川県横浜市南区南太田1-23,ベーシック,オーラ e-POWER,
タイムズ南太田第６,神奈川県横浜市南区南太田1-23,ベーシック,ワゴンRスマイル 660,ジュニアシートなし
タイムズ吉野町第２,神奈川県横浜市南区吉野町2-4,ベーシック,ウェイク,
タイムズ大橋町,神奈川県横浜市南区大橋町2-30,ベーシック,ルーミー 1000,
タイムズ大橋町１丁目,神奈川県横浜市南区大橋町1-6,ベーシック,MAZDA2,
タイムズ大橋町１丁目,神奈川県横浜市南区大橋町1-6,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ大橋町１丁目,神奈川県横浜市南区大橋町1-6,ミドル,シエンタ（ハイブリッド）,
タイムズ宿町,神奈川県横浜市南区宿町2-52,ベーシック,ノート e-POWER,
タイムズ宿町,神奈川県横浜市南区宿町2-52,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ宿町第３,神奈川県横浜市南区宿町3,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ宿町第３,神奈川県横浜市南区宿町3,ベーシック,ソリオ,
タイムズ弘明寺,神奈川県横浜市南区大岡2-14,ベーシック,ワゴンRスマイル 660,
タイムズ弘明寺,神奈川県横浜市南区大岡2-14,ベーシック,ノート e-POWER,
タイムズ弘明寺,神奈川県横浜市南区大岡2-14,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ弘明寺,神奈川県横浜市南区大岡2-14,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ弘明寺第４,神奈川県横浜市南区大岡2-27,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ弘明寺第６,神奈川県横浜市南区大岡2-30,ベーシック,ノート,
タイムズ弘明寺第６,神奈川県横浜市南区大岡2-30,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ弘明寺第８,神奈川県横浜市南区大岡2-26,ミドル,フリード,
タイムズ東蒔田第２,神奈川県横浜市南区東蒔田町3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜中島町第４,神奈川県横浜市南区中島町1-3,ベーシック,フィット,
タイムズ横浜中村町第４,神奈川県横浜市南区中村町4-283,ベーシック,ヤリス（ハイブリッド）,
タイムズ横浜中村町第４,神奈川県横浜市南区中村町4-283,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜二葉町第２,神奈川県横浜市南区二葉町1-3,ベーシック,アクア（ハイブリッド）,
タイムズ横浜二葉町第２,神奈川県横浜市南区二葉町1-3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜二葉町第２,神奈川県横浜市南区二葉町1-3,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ横浜平楽,神奈川県横浜市南区平楽2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜平楽,神奈川県横浜市南区平楽2,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ横浜新川町,神奈川県横浜市南区新川町3,ベーシック,ノート e-POWER,
タイムズ横浜新川町,神奈川県横浜市南区新川町3,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜新川町第３,神奈川県横浜市南区新川町1,ベーシック,ウェイク,
タイムズ横浜新川町第３,神奈川県横浜市南区新川町1,ベーシック,ソリオ,
タイムズ横浜永田東第３,神奈川県横浜市南区永田東1-5,ベーシック,アクア（ハイブリッド）,
タイムズ横浜永田東第３,神奈川県横浜市南区永田東1-5,ベーシック,アクア（ハイブリッド）,
タイムズ横浜永田東第３,神奈川県横浜市南区永田東1-5,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ横浜永田東第３,神奈川県横浜市南区永田東1-5,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ横浜永田東第３,神奈川県横浜市南区永田東1-5,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ永楽町,神奈川県横浜市南区永楽町2-24,ベーシック,MAZDA3 5HB 1500,
タイムズ永楽町,神奈川県横浜市南区永楽町2-24,ミドル,フリード,
タイムズ浦舟町第６,神奈川県横浜市南区浦舟町4-51,ベーシック,ノート,ジュニアシートなし
タイムズ清水ヶ丘,神奈川県横浜市南区清水ケ丘249,ベーシック,オーラ e-POWER,
タイムズ清水ヶ丘第２,神奈川県横浜市南区清水ケ丘191,ベーシック,ソリオ,
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ベーシック,フィット,
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ベーシック,ルーミー 1000,
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ白妙町第５,神奈川県横浜市南区白妙町4-43,ミドル,シエンタ（ハイブリッド）,
タイムズ真金町第６,神奈川県横浜市南区真金町2,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ花之木町,神奈川県横浜市南区花之木町2-22,ベーシック,ルークス,ジュニアシートなし
パークセレス中村町第１３駐車場,神奈川県横浜市南区中村町2-112,ミドル,CX-30 2000（M-ハイブリッド）,
フォレストハイツ弘明寺,神奈川県横浜市南区大岡3-2,ベーシック,ハスラー,
フォレストハイツ弘明寺,神奈川県横浜市南区大岡3-2,ベーシック,ハスラー,
レ・ジェイド横濱花之木,神奈川県横浜市南区花之木町2-38,ベーシック,ライズ,A200A型（2019年-2021年）
井土ヶ谷ニッコクハイツ,神奈川県横浜市南区永田東1-18,ベーシック,ハスラー,
井土ヶ谷ニッコクハイツ,神奈川県横浜市南区永田東1-18,ベーシック,ノート,
井土ヶ谷下町駐車場,神奈川県横浜市南区井土ケ谷下町41-1,ベーシック,MAZDA2,DJ型（2019年-2023年）
井土ヶ谷下町駐車場,神奈川県横浜市南区井土ケ谷下町41-1,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
井土ヶ谷下町駐車場,神奈川県横浜市南区井土ケ谷下町41-1,ベーシック,スイフト(ハイブリッド/1200cc),
井土ヶ谷駅前,神奈川県横浜市南区井土ケ谷下町215,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
井土ヶ谷駅前,神奈川県横浜市南区井土ケ谷下町215,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
六ツ川１丁目月極,神奈川県横浜市南区六ツ川1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
南区中村町３丁目月極,神奈川県横浜市南区中村町3,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
南区別所４丁目,神奈川県横浜市南区別所4-2,ベーシック,ヤリス（ハイブリッド）,
南太田第３月極,神奈川県横浜市南区南太田1-23,ベーシック,ハスラー,
南太田第３月極,神奈川県横浜市南区南太田1-23,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
南太田駅前,神奈川県横浜市南区南太田1-71,ベーシック,ハスラー,
南太田４丁目駐車場,神奈川県横浜市南区南太田4-11,ベーシック,MAZDA2,ジュニアシートなし
横浜二葉町３丁目月極,神奈川県横浜市南区二葉町3-26,ベーシック,MAZDA3 5HB 1500,ジュニアシートなし
横浜二葉町３丁目月極,神奈川県横浜市南区二葉町3-26,ベーシック,ライズ,A200A型（2019年-2021年）
横浜二葉町３丁目月極,神奈川県横浜市南区二葉町3-26,ミドル,CX-30 2000（M-ハイブリッド）,
横浜二葉町３丁目月極,神奈川県横浜市南区二葉町3-26,ミドル,CX-5 2000,
横浜二葉町３丁目月極,神奈川県横浜市南区二葉町3-26,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
横浜二葉町３丁目月極第２,神奈川県横浜市南区二葉町3,ベーシック,ハスラー,ジュニアシートなし
横浜二葉町３丁目月極第２,神奈川県横浜市南区二葉町3,ベーシック,アクア（ハイブリッド）,
横浜堀ノ内町月極,神奈川県横浜市南区堀ノ内町1-7,ベーシック,MAZDA2,DJ型（2019年-2023年）
横浜堀ノ内町月極,神奈川県横浜市南区堀ノ内町1-7,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
横浜新川町３丁目月極,神奈川県横浜市南区新川町3,ベーシック,MAZDA2,DJ型（2019年-2023年）
横浜新川町３丁目月極,神奈川県横浜市南区新川町3,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
横浜新川町３丁目月極,神奈川県横浜市南区新川町3,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
横浜新川町４丁目月極,神奈川県横浜市南区新川町4,ベーシック,ソリオ,ジュニアシートなし
横浜新川町４丁目月極,神奈川県横浜市南区新川町4,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
横浜睦町１丁目,神奈川県横浜市南区睦町1-13,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
横浜睦町１丁目,神奈川県横浜市南区睦町1-13,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
横浜睦町２丁目,神奈川県横浜市南区睦町2-198,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
横浜睦町２丁目,神奈川県横浜市南区睦町2-198,ベーシック,ヤリスクロス（ハイブリッド）,
横浜通町,神奈川県横浜市南区通町3-64,ベーシック,MAZDA2,DJ型（2019年-2023年）
横浜通町,神奈川県横浜市南区通町3-64,ベーシック,スイフト,
横浜通町,神奈川県横浜市南区通町3-64,ベーシック,ソリオ,
白妙町３丁目,神奈川県横浜市南区白妙町3-34,ベーシック,ワゴンRスマイル 660,ジュニアシートなし
白妙町３丁目,神奈川県横浜市南区白妙町3-34,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
阪東橋自動車駐車場,神奈川県横浜市南区二葉町1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
阪東橋自動車駐車場,神奈川県横浜市南区二葉町1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
阪東橋駅前,神奈川県横浜市南区高根町3-17,ベーシック,ワゴンRスマイル 660,
