ステーション名,住所,クラス,車種,コメント
横浜ゆめが丘,神奈川県横浜市泉区下飯田町　街区番号53符号2,ベーシック,ソリオ,ジュニアシートなし
横浜中田町月極,神奈川県横浜市泉区中田町 2734,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
横浜岡津町,神奈川県横浜市泉区岡津町600,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
泉区新橋町駐車場,神奈川県横浜市泉区新橋町1366,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,N BOX,ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,MAZDA2,DJ型（2019年-2023年）
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年） ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,フィット（ハイブリッド）,
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ベーシック,ライズ,A200A型（2019年-2021年） ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年） ジュニアシートなし
緑園都市駅前（月極）,神奈川県横浜市泉区緑園1-1,ミドル,CX-30 2000（M-ハイブリッド）,ジュニアシートなし
緑園３丁目駐車場,神奈川県横浜市泉区緑園3-31,ベーシック,ノート e-POWER,ジュニアシートなし
緑園３丁目駐車場,神奈川県横浜市泉区緑園3-31,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
あざみ野カーポートよこみぞ,神奈川県横浜市青葉区あざみ野4-2,ベーシック,ソリオ,
あざみ野南テラス池尻駐車場,神奈川県横浜市青葉区あざみ野南1-20,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
あざみ野南テラス池尻駐車場,神奈川県横浜市青葉区あざみ野南1-20,ミドル,シエンタ（ハイブリッド）,
あざみ野南駐車場,神奈川県横浜市青葉区あざみ野南2-11,ベーシック,アクア（ハイブリッド）,
あざみ野南２丁目,神奈川県横浜市青葉区あざみ野南2-1,ベーシック,MAZDA2,ジュニアシートなし
あざみ野新石川１丁目,神奈川県横浜市青葉区新石川1-23,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
すすき野３丁目,神奈川県横浜市青葉区すすき野3-1,ベーシック,フィット,ジュニアシートなし
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ノート,
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ノート e-POWER,
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,ミドル,C-HR（ハイブリッド）,
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
たまプラーザ駅前,神奈川県横浜市青葉区美しが丘1-2,プレミアム,ノア（ハイブリッド）,
オイコス荏田,神奈川県横浜市青葉区荏田町429,ベーシック,フィット,ジュニアシートなし
オクトス市ヶ尾,神奈川県横浜市青葉区市ケ尾町541,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
オクトス市ヶ尾,神奈川県横浜市青葉区市ケ尾町541,ベーシック,ライズ（ハイブリッド）,
